,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,"Guangxi,",Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xingjiang
2020,36103,14084,36207,17652,17360,25115,12311,13699,38701,102719,64613,38681,43904,25692,73129,54997,43444,41782,110761,22157,5532,25003,48599,17827,24522,1903,26182,9017,3006,3921,13798
2019,35445,14056,34979,16962,17213,24855,11727,13544,37988,98657,62462,36846,42327,24667,70541,53718,45429,39894,107987,21237,5331,23606,46364,16769,23224,1698,25793,8718,2941,3749,13597
2018,33106,13363,32495,15958,16141,23511,11254,12847,36012,93208,58003,34011,38688,22717,66649,49936,42022,36330,99945,19628,4911,21589,42902,15353,20881,1548,23942,8104,2748,3510,12809
2017,29883,12451,30641,14484,14898,21693,10922,12313,32925,85870,52403,29676,33842,20211,63012,44825,37235,33828,91649,17791,4498,20066,37905,13605,18486,1349,21474,7337,2465,3200,11160
2016,27041,11477,28474,11946,13789,20393,10427,11895,29887,77351,47254,26308,29609,18389,58763,40249,33353,30854,82163,16117,4090,18023,33139,11792,16369,1173,19046,6908,2258,2781,9631
2015,24779,10880,26398,11836,12949,20210,10018,11690,26887,71256,43508,23831,26820,16781,55289,37084,30344,28539,74732,14798,3734,16041,30342,10541,14960,1043,17899,6557,2011,2579,9307
2014,22926,10641,25209,12095,12158,20026,9967,12171,25270,64831,40024,22520,24942,15668,50775,34575,28242,25881,68173,13588,3449,14624,28891,9173,14042,940,17403,6518,1848,2474,9265
2013,21135,9945,24260,11987,11392,19209,9428,11849,23204,59349,37335,20584,22504,14300,47344,31633,25378,23545,62503,12448,3116,13028,26518,7973,12826,828,15905,6015,1713,2328,8393
2012,19025,9043,23078,11683,10470,17849,8678,11016,21306,53702,34382,18342,20191,12808,42957,28962,22591,21207,57008,11304,2789,11595,23922,6742,11097,710,14142,5393,1529,2131,7412
2011,17189,8113,21385,10894,9458,16355,7735,9935,20010,48839,31855,16285,17918,11585,39065,26319,19943,18915,53073,10300,2464,10161,21051,5616,9523,612,12175,4817,1370,1932,6532
2010,14964,6831,18004,8904,8200,13896,6411,8308,17915,41384,27400,13250,15003,9383,33923,22655,16227,15574,45945,8552,2021,8065,17225,4519,7735,513,9845,3944,1144,1572,5360
2009,12901,5710,15307,7148,7104,12816,5435,7219,15742,34472,22834,10865,12418,7630,29541,19181,13192,12773,39465,7113,1620,6651,14191,3857,6574,446,7998,3268,940,1267,4237
2008,11813,5182,14200,7223,6242,12138,4835,7134,14537,30946,21285,9518,10932,6934,27106,17736,11498,11307,36704,6455,1475,5900,12756,3505,6017,398,7178,3072,897,1139,4143
2007,10426,4158,12153,5936,5167,10292,4080,6126,12879,25988,18640,7942,9326,5778,22718,14825,9451,9286,31743,5475,1234,4771,10562,2848,5077,344,5682,2675,720,878,3500
2006,8387,3538,10043,4714,4162,8390,3227,5330,10599,21241,15303,6500,7469,4697,18968,11978,7532,7432,25961,4418,1028,3900,8495,2264,4091,286,4596,2203,585,683,2957
2005,7150,3159,8773,4079,3524,7261,2777,4756,9197,18121,13028,5676,6416,3941,15948,10244,6470,6370,21963,3742,885,3448,7196,1940,3498,243,3817,1865,499,580,2521
2004,6253,2621,7589,3496,2942,6470,2455,4135,8102,14823,11482,5129,5712,3398,13308,8411,5547,5543,18658,3305,803,3060,6304,1649,3136,218,3142,1654,444,520,2170
2003,5267,2258,6334,2854,2388,5906,2141,3610,6804,12443,9753,4308,5000,2813,10903,6942,4758,4660,15980,2798,714,2616,5346,1429,2633,186,2588,1400,385,443,1889
2002,4526,1927,5519,2325,1941,5458,2043,3243,5795,10607,8041,3828,4468,2451,10077,6036,4213,4152,13602,2524,643,2280,4725,1243,2359,162,2253,1232,341,377,1613
2001,3862,1757,5063,2030,1714,5033,1901,3043,5258,9457,6928,3503,4073,2176,9076,5533,3881,3832,12127,2279,579,2015,4294,1133,2159,139,2011,1125,300,337,1492
2000,3278,1592,4628,1846,1539,4669,1751,2856,4812,8554,6165,3125,3765,2003,8278,5053,3545,3552,10810,2080,527,1822,3928,1030,2030,118,1804,1053,264,295,1364
1999,2760,1436,4159,1667,1379,4172,1673,2537,4222,7698,5461,2908,3414,1854,7494,4518,3229,3215,9290,1971,477,1688,3649,938,1900,106,1593,956,239,265,1163
1998,2439,1345,3925,1611,1263,3882,1577,2470,3831,7200,5066,2712,3160,1720,7021,4308,3114,3026,8555,1911,442,1622,3474,858,1831,92,1458,888,221,246,1107
1997,2118,1265,3652,1476,1154,3583,1464,2398,3465,6680,4696,2485,2871,1606,6537,4041,2857,2849,7793,1817,411,1525,3242,806,1676,77,1364,794,203,225,1040
1996,1819,1122,3198,1292,1023,3158,1347,2138,2981,6004,4196,2200,2484,1410,5884,3635,2500,2540,6848,1698,390,1326,2872,723,1518,65,1216,723,184,203,901
1995,1516,932,2701,1076,857,2793,1137,1790,2518,5155,3564,1891,2095,1170,4953,2988,2109,2132,5940,1498,363,1131,2443,636,1222,56,1037,558,168,175,815
1994,1150,733,2115,827,695,2462,938,1448,1991,4057,2689,1379,1644,948,3845,2217,1701,1650,4619,1198,332,838,2001,525,984,46,839,454,138,136,662
1993,889,539,1621,680,538,2011,719,1075,1519,2998,1926,1074,1114,723,2770,1660,1326,1245,3469,872,260,611,1486,418,783,37,678,372,110,105,495
1992,710,411,1279,551,422,1473,558,857,1114,2136,1376,827,785,573,2197,1280,1088,987,2448,647,185,463,1177,340,619,33,532,318,88,83,402
